timestamp,event_id,source,message,activity_summary,ip,username,is_threat,threat_score,threat_source,mitre_technique,mitre_tactic
2026-02-18 12:37:58,4798,Microsoft-Windows-Security-Auditing,"('shrii', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-1001', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x2b00', 'C:\\Windows\\System32\\svchost.exe')",Event 4798,,BOOK-ERHUGOH353,False,0,Safe,,
2026-02-18 12:37:58,4798,Microsoft-Windows-Security-Auditing,"('Guest', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-501', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x2b00', 'C:\\Windows\\System32\\svchost.exe')",Event 4798,,BOOK-ERHUGOH353,False,0,Safe,,
2026-02-18 12:37:58,4798,Microsoft-Windows-Security-Auditing,"('DefaultAccount', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-503', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x2b00', 'C:\\Windows\\System32\\svchost.exe')",Event 4798,,BOOK-ERHUGOH353,False,0,Safe,,
2026-02-18 12:37:58,4798,Microsoft-Windows-Security-Auditing,"('Administrator', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-500', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x2b00', 'C:\\Windows\\System32\\svchost.exe')",Event 4798,,BOOK-ERHUGOH353,False,0,Safe,,
2026-02-18 12:37:58,4798,Microsoft-Windows-Security-Auditing,"('shrii', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-1001', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x2b00', 'C:\\Windows\\System32\\svchost.exe')",Event 4798,,BOOK-ERHUGOH353,False,0,Safe,,
2026-02-18 12:37:58,4798,Microsoft-Windows-Security-Auditing,"('Guest', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-501', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x2b00', 'C:\\Windows\\System32\\svchost.exe')",Event 4798,,BOOK-ERHUGOH353,False,0,Safe,,
2026-02-18 12:37:58,4798,Microsoft-Windows-Security-Auditing,"('DefaultAccount', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-503', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x2b00', 'C:\\Windows\\System32\\svchost.exe')",Event 4798,,BOOK-ERHUGOH353,False,0,Safe,,
2026-02-18 12:37:58,4798,Microsoft-Windows-Security-Auditing,"('Administrator', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-500', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x2b00', 'C:\\Windows\\System32\\svchost.exe')",Event 4798,,BOOK-ERHUGOH353,False,0,Safe,,
2026-02-18 12:37:46,4798,Microsoft-Windows-Security-Auditing,"('shrii', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-1001', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x2b00', 'C:\\Windows\\System32\\svchost.exe')",Event 4798,,BOOK-ERHUGOH353,False,0,Safe,,
2026-02-18 12:37:46,4798,Microsoft-Windows-Security-Auditing,"('Guest', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-501', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x2b00', 'C:\\Windows\\System32\\svchost.exe')",Event 4798,,BOOK-ERHUGOH353,False,0,Safe,,
2026-02-18 12:37:46,4798,Microsoft-Windows-Security-Auditing,"('DefaultAccount', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-503', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x2b00', 'C:\\Windows\\System32\\svchost.exe')",Event 4798,,BOOK-ERHUGOH353,False,0,Safe,,
2026-02-18 12:37:46,4798,Microsoft-Windows-Security-Auditing,"('Administrator', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-500', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x2b00', 'C:\\Windows\\System32\\svchost.exe')",Event 4798,,BOOK-ERHUGOH353,False,0,Safe,,
2026-02-18 12:37:46,4798,Microsoft-Windows-Security-Auditing,"('shrii', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-1001', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x2b00', 'C:\\Windows\\System32\\svchost.exe')",Event 4798,,BOOK-ERHUGOH353,False,0,Safe,,
